key 	 Omega 	 dN 	 dS 
OGs_OG0003816_Gbi_Lko.aln	0.051	0.0894	1.753
OGs_OG0004585_Gbi_Lko.aln	0.1298	0.2356	1.8148
OGs_OG0004495_Gbi_Lko.aln	0.1772	0.1514	0.8545
OGs_OG0004151_Gbi_Lko.aln	0.0414	0.1137	2.7428
OGs_OG0002006_Gbi_Lko.aln	0.068	0.1279	1.881
OGs_OG0008122_Gbi_Lko.aln	0.071	0.0931	1.3108
OGs_OG0005258_Gbi_Lko.aln	0.0424	0.1681	3.9636
OGs_OG0003325_Gbi_Lko.aln	0.0786	0.3634	4.6256
OGs_OG0010118_Gbi_Lko.aln	0.0296	0.124	4.1887
OGs_OG0001407_Gbi_Lko.aln	0.046	0.1052	2.2857
OGs_OG0001694_Gbi_Lko.aln	0.012	0.0432	3.613
OGs_OG0006860_Gbi_Lko.aln	0.0548	0.0943	1.72
OGs_OG0004160_Gbi_Lko.aln	0.0002	0.0191	99.0
OGs_OG0006409_Gbi_Lko.aln	0.0293	0.0663	2.2635
OGs_OG0009897_Gbi_Lko.aln	0.0931	0.2291	2.4619
OGs_OG0003872_Gbi_Lko.aln	0.0145	0.0646	4.4563
OGs_OG0003409_Gbi_Lko.aln	0.0097	0.0465	4.8072
OGs_OG0004748_Gbi_Lko.aln	0.0301	0.1212	4.0254
OGs_OG0005530_Gbi_Lko.aln	0.035	0.0652	1.862
OGs_OG0002168_Gbi_Lko.aln	0.1634	0.3983	2.437
OGs_OG0004094_Gbi_Lko.aln	0.011	0.0514	4.6826
OGs_OG0007904_Gbi_Lko.aln	0.0473	0.166	3.5113
OGs_OG0004321_Gbi_Lko.aln	0.0075	0.0312	4.1729
OGs_OG0001954_Gbi_Lko.aln	0.0483	0.0714	1.4795
OGs_OG0009416_Gbi_Lko.aln	0.1577	0.2932	1.8587
OGs_OG0001678_Gbi_Lko.aln	0.051	0.1398	2.7439
OGs_OG0003808_Gbi_Lko.aln	0.1114	0.4214	3.7825
OGs_OG0005582_Gbi_Lko.aln	0.0506	0.2015	3.9859
OGs_OG0005549_Gbi_Lko.aln	0.0455	0.08	1.7587
OGs_OG0006705_Gbi_Lko.aln	0.0559	0.1706	3.052
OGs_OG0007672_Gbi_Lko.aln	0.2128	0.7761	3.6463
OGs_OG0013314_Gbi_Lko.aln	0.0898	0.2268	2.5266
OGs_OG0002325_Gbi_Lko.aln	0.0161	0.0621	3.8687
OGs_OG0004118_Gbi_Lko.aln	0.0341	0.1506	4.4136
OGs_OG0009019_Gbi_Lko.aln	0.1282	0.2436	1.9004
OGs_OG0002692_Gbi_Lko.aln	0.0424	0.1281	3.0186
OGs_OG0004504_Gbi_Lko.aln	0.077	0.1328	1.7254
OGs_OG0002276_Gbi_Lko.aln	0.0172	0.0643	3.7292
OGs_OG0013320_Gbi_Lko.aln	0.0478	0.2095	4.3855
OGs_OG0004921_Gbi_Lko.aln	0.0021	0.0067	3.188
OGs_OG0005360_Gbi_Lko.aln	0.1358	0.2727	2.0077
OGs_OG0003051_Gbi_Lko.aln	0.0063	0.0309	4.9219
OGs_OG0002033_Gbi_Lko.aln	0.0106	0.0459	4.3142
OGs_OG0004505_Gbi_Lko.aln	0.0657	0.1492	2.2694
OGs_OG0002522_Gbi_Lko.aln	0.0227	0.0717	3.1629
OGs_OG0006873_Gbi_Lko.aln	0.0206	0.1244	6.0487
OGs_OG0007395_Gbi_Lko.aln	0.059	0.2342	3.9688
OGs_OG0007204_Gbi_Lko.aln	0.369	0.5197	1.4085
OGs_OG0007721_Gbi_Lko.aln	0.0346	0.125	3.6072
OGs_OG0002873_Gbi_Lko.aln	0.0492	0.0974	1.9813
OGs_OG0002300_Gbi_Lko.aln	0.1322	0.2562	1.9383
OGs_OG0006267_Gbi_Lko.aln	0.3202	0.5567	1.7389
OGs_OG0006143_Gbi_Lko.aln	0.017	0.0302	1.7787
OGs_OG0003592_Gbi_Lko.aln	0.0542	0.2608	4.809
OGs_OG0001769_Gbi_Lko.aln	0.0457	0.1684	3.6824
OGs_OG0005610_Gbi_Lko.aln	0.0246	0.1364	5.5357
OGs_OG0003229_Gbi_Lko.aln	0.02	0.0989	4.9407
OGs_OG0000593_Gbi_Lko.aln	0.1068	0.3874	3.6285
OGs_OG0002205_Gbi_Lko.aln	0.0408	0.1635	4.0069
OGs_OG0003560_Gbi_Lko.aln	0.0312	0.0858	2.7473
OGs_OG0002497_Gbi_Lko.aln	0.0363	0.1726	4.7599
OGs_OG0006293_Gbi_Lko.aln	0.0619	0.2849	4.6021
OGs_OG0002767_Gbi_Lko.aln	0.0273	0.0411	1.5029
OGs_OG0002061_Gbi_Lko.aln	0.1139	0.2191	1.9239
OGs_OG0007565_Gbi_Lko.aln	0.055	0.1025	1.8624
OGs_OG0001913_Gbi_Lko.aln	0.0181	0.0781	4.3218
OGs_OG0006996_Gbi_Lko.aln	0.1099	0.5005	4.5527
OGs_OG0001981_Gbi_Lko.aln	0.0451	0.0901	2.0006
OGs_OG0010008_Gbi_Lko.aln	0.0533	0.2291	4.2974
OGs_OG0004576_Gbi_Lko.aln	0.0734	0.2363	3.219
OGs_OG0004251_Gbi_Lko.aln	0.0414	0.1136	2.7417
OGs_OG0002117_Gbi_Lko.aln	0.0754	0.3079	4.0842
OGs_OG0003824_Gbi_Lko.aln	0.0778	0.3042	3.911
OGs_OG0002758_Gbi_Lko.aln	0.045	0.2112	4.6913
OGs_OG0007524_Gbi_Lko.aln	0.0127	0.0243	1.9147
OGs_OG0004257_Gbi_Lko.aln	0.3189	0.5129	1.6084
OGs_OG0006080_Gbi_Lko.aln	0.0684	0.3496	5.1119
OGs_OG0004891_Gbi_Lko.aln	0.0483	0.1776	3.6742
OGs_OG0008508_Gbi_Lko.aln	0.181	0.2416	1.3349
OGs_OG0006751_Gbi_Lko.aln	0.1094	0.3739	3.4168
OGs_OG0002783_Gbi_Lko.aln	0.073	0.1394	1.9091
OGs_OG0008025_Gbi_Lko.aln	0.0294	0.1134	3.8524
OGs_OG0004196_Gbi_Lko.aln	0.0494	0.2357	4.7696
OGs_OG0004905_Gbi_Lko.aln	0.1439	0.378	2.6264
OGs_OG0004715_Gbi_Lko.aln	0.0378	0.1637	4.3281
OGs_OG0005951_Gbi_Lko.aln	0.0412	0.1009	2.4472
OGs_OG0005028_Gbi_Lko.aln	0.021	0.0374	1.7856
OGs_OG0005264_Gbi_Lko.aln	0.0729	0.3082	4.2303
OGs_OG0003005_Gbi_Lko.aln	0.0535	0.1178	2.2034
OGs_OG0002876_Gbi_Lko.aln	0.1267	0.2803	2.2122
OGs_OG0002237_Gbi_Lko.aln	0.08	0.3156	3.944
OGs_OG0007332_Gbi_Lko.aln	0.0379	0.15	3.9567
OGs_OG0007163_Gbi_Lko.aln	0.0719	0.1347	1.8744
OGs_OG0013673_Gbi_Lko.aln	0.0634	0.2682	4.2303
OGs_OG0005218_Gbi_Lko.aln	0.015	0.0605	4.0437
OGs_OG0003881_Gbi_Lko.aln	0.0643	0.3039	4.7231
OGs_OG0004023_Gbi_Lko.aln	0.0198	0.0641	3.2385
OGs_OG0008368_Gbi_Lko.aln	0.0379	0.1067	2.813
OGs_OG0005478_Gbi_Lko.aln	0.0072	0.0163	2.257
OGs_OG0005398_Gbi_Lko.aln	0.0174	0.0378	2.1784
OGs_OG0008019_Gbi_Lko.aln	0.1282	0.0726	0.5664
OGs_OG0002364_Gbi_Lko.aln	0.0424	0.1714	4.0408
OGs_OG0009627_Gbi_Lko.aln	0.1771	0.1681	0.9488
OGs_OG0001794_Gbi_Lko.aln	0.0419	0.0644	1.5395
OGs_OG0005930_Gbi_Lko.aln	0.0188	0.0325	1.7336
OGs_OG0008048_Gbi_Lko.aln	0.0478	0.1524	3.1899
OGs_OG0001610_Gbi_Lko.aln	0.0136	0.0233	1.7114
OGs_OG0004660_Gbi_Lko.aln	0.019	0.0801	4.2159
OGs_OG0006249_Gbi_Lko.aln	0.0751	0.1877	2.4997
OGs_OG0005878_Gbi_Lko.aln	0.0781	0.2709	3.4683
OGs_OG0006375_Gbi_Lko.aln	0.0799	0.1593	1.9928
OGs_OG0001250_Gbi_Lko.aln	0.0393	0.0716	1.8232
OGs_OG0005374_Gbi_Lko.aln	0.017	0.0798	4.6934
OGs_OG0002123_Gbi_Lko.aln	0.895	1.1898	1.3294
OGs_OG0002574_Gbi_Lko.aln	0.0478	0.1083	2.2649
OGs_OG0006045_Gbi_Lko.aln	0.0152	0.0625	4.1197
OGs_OG0004794_Gbi_Lko.aln	0.0613	0.2811	4.588
OGs_OG0006567_Gbi_Lko.aln	0.07	0.27	3.8562
OGs_OG0001181_Gbi_Lko.aln	0.0484	0.1076	2.224
OGs_OG0003526_Gbi_Lko.aln	0.0628	0.2469	3.9334
OGs_OG0002798_Gbi_Lko.aln	0.0378	0.0712	1.8822
OGs_OG0004107_Gbi_Lko.aln	0.0293	0.107	3.6489
OGs_OG0003944_Gbi_Lko.aln	0.0306	0.1424	4.6512
OGs_OG0001702_Gbi_Lko.aln	0.2735	0.924	3.3783
OGs_OG0007106_Gbi_Lko.aln	0.1526	0.5443	3.5659
OGs_OG0006987_Gbi_Lko.aln	0.1299	0.4614	3.551
OGs_OG0006071_Gbi_Lko.aln	0.1076	0.1739	1.6162
OGs_OG0009282_Gbi_Lko.aln	0.125	0.2227	1.7823
OGs_OG0001428_Gbi_Lko.aln	0.0969	0.1993	2.0579
OGs_OG0007328_Gbi_Lko.aln	0.0316	0.0175	0.553
OGs_OG0005232_Gbi_Lko.aln	0.0159	0.0675	4.2546
OGs_OG0004211_Gbi_Lko.aln	0.014	0.0336	2.3966
OGs_OG0000747_Gbi_Lko.aln	0.0493	0.244	4.9533
OGs_OG0007872_Gbi_Lko.aln	0.0642	0.1241	1.9317
OGs_OG0007556_Gbi_Lko.aln	0.0051	0.0073	1.4142
OGs_OG0005060_Gbi_Lko.aln	0.0871	0.3119	3.5804
OGs_OG0002480_Gbi_Lko.aln	0.0363	0.1638	4.513
OGs_OG0001977_Gbi_Lko.aln	0.1003	0.3932	3.9204
OGs_OG0006517_Gbi_Lko.aln	0.0787	0.2351	2.9861
OGs_OG0003234_Gbi_Lko.aln	0.0388	0.1951	5.031
OGs_OG0006510_Gbi_Lko.aln	0.0629	0.1402	2.2274
OGs_OG0004108_Gbi_Lko.aln	0.0373	0.1533	4.1146
OGs_OG0002208_Gbi_Lko.aln	0.0359	0.0522	1.4537
OGs_OG0003722_Gbi_Lko.aln	0.0192	0.0814	4.2413
OGs_OG0005282_Gbi_Lko.aln	0.0369	0.0997	2.7032
OGs_OG0003998_Gbi_Lko.aln	0.0487	0.1855	3.8102
OGs_OG0013510_Gbi_Lko.aln	0.1053	0.4196	3.9831
OGs_OG0003929_Gbi_Lko.aln	0.0427	0.1618	3.7873
OGs_OG0005862_Gbi_Lko.aln	0.0875	0.3642	4.1633
OGs_OG0002991_Gbi_Lko.aln	0.0264	0.1184	4.4804
OGs_OG0006030_Gbi_Lko.aln	0.0213	0.0706	3.3238
OGs_OG0006271_Gbi_Lko.aln	0.0332	0.0548	1.6507
OGs_OG0009649_Gbi_Lko.aln	0.1037	0.2228	2.1487
OGs_OG0003601_Gbi_Lko.aln	0.023	0.0983	4.2711
OGs_OG0004205_Gbi_Lko.aln	0.148	0.1102	0.7444
OGs_OG0003970_Gbi_Lko.aln	0.0112	0.0596	5.3244
OGs_OG0008749_Gbi_Lko.aln	0.1632	0.4324	2.6492
OGs_OG0007387_Gbi_Lko.aln	0.0545	0.1931	3.5412
OGs_OG0003260_Gbi_Lko.aln	0.0679	0.0919	1.3527
OGs_OG0013613_Gbi_Lko.aln	0.2099	0.3243	1.5446
OGs_OG0008213_Gbi_Lko.aln	0.0873	0.4255	4.8761
OGs_OG0003274_Gbi_Lko.aln	0.038	0.0904	2.3764
OGs_OG0006559_Gbi_Lko.aln	0.0896	0.3365	3.7576
OGs_OG0002103_Gbi_Lko.aln	0.1239	0.2929	2.364
OGs_OG0002742_Gbi_Lko.aln	0.0302	0.0784	2.5992
OGs_OG0005007_Gbi_Lko.aln	0.0451	0.121	2.6812
OGs_OG0001287_Gbi_Lko.aln	0.0187	0.0595	3.1734
OGs_OG0007992_Gbi_Lko.aln	0.0714	0.1146	1.6046
OGs_OG0009746_Gbi_Lko.aln	0.148	0.2703	1.8257
OGs_OG0008129_Gbi_Lko.aln	0.0934	0.4268	4.5687
OGs_OG0010533_Gbi_Lko.aln	0.0415	0.1345	3.2459
OGs_OG0004149_Gbi_Lko.aln	0.3718	0.2798	0.7526
OGs_OG0005447_Gbi_Lko.aln	0.1197	0.1798	1.5025
OGs_OG0004632_Gbi_Lko.aln	0.0355	0.137	3.8607
OGs_OG0004224_Gbi_Lko.aln	0.0182	0.0707	3.8809
OGs_OG0006046_Gbi_Lko.aln	0.1119	0.2012	1.7973
OGs_OG0008006_Gbi_Lko.aln	0.0838	0.1723	2.0565
OGs_OG0006002_Gbi_Lko.aln	0.0423	0.1964	4.6483
OGs_OG0007752_Gbi_Lko.aln	0.1587	0.7566	4.7671
OGs_OG0008015_Gbi_Lko.aln	0.0106	0.0467	4.4249
OGs_OG0005663_Gbi_Lko.aln	0.0039	0.0024	0.6148
OGs_OG0004516_Gbi_Lko.aln	0.0088	0.0336	3.8269
OGs_OG0001659_Gbi_Lko.aln	0.0762	0.3007	3.9475
OGs_OG0006537_Gbi_Lko.aln	0.0133	0.0693	5.2206
OGs_OG0004135_Gbi_Lko.aln	0.029	0.1169	4.0266
OGs_OG0000809_Gbi_Lko.aln	0.0679	0.1878	2.7683
OGs_OG0001374_Gbi_Lko.aln	0.0	-0.0	1.8411
OGs_OG0000216_Gbi_Lko.aln	0.0434	0.2051	4.7285
OGs_OG0006629_Gbi_Lko.aln	0.0689	0.2554	3.7092
OGs_OG0004221_Gbi_Lko.aln	0.0043	0.0258	5.9607
OGs_OG0009077_Gbi_Lko.aln	0.2053	0.3355	1.6345
OGs_OG0000390_Gbi_Lko.aln	0.0378	0.1423	3.7649
OGs_OG0002207_Gbi_Lko.aln	0.0476	0.1598	3.353
OGs_OG0003347_Gbi_Lko.aln	0.0316	0.1214	3.838
OGs_OG0007631_Gbi_Lko.aln	0.098	0.2181	2.2251
OGs_OG0013504_Gbi_Lko.aln	0.3913	0.668	1.7071
OGs_OG0007009_Gbi_Lko.aln	0.0185	0.0461	2.4933
OGs_OG0005664_Gbi_Lko.aln	0.0195	0.083	4.2569
OGs_OG0010576_Gbi_Lko.aln	0.1169	0.2789	2.3871
OGs_OG0005177_Gbi_Lko.aln	0.0167	0.0795	4.7691
OGs_OG0004741_Gbi_Lko.aln	0.0328	0.1522	4.6444
OGs_OG0003061_Gbi_Lko.aln	0.0835	0.1379	1.6513
OGs_OG0005640_Gbi_Lko.aln	0.0546	0.2415	4.4195
OGs_OG0005770_Gbi_Lko.aln	0.0861	0.3379	3.925
OGs_OG0013541_Gbi_Lko.aln	0.1009	0.1369	1.3565
OGs_OG0004252_Gbi_Lko.aln	0.0204	0.1008	4.941
OGs_OG0002523_Gbi_Lko.aln	0.002	0.0081	4.1612
OGs_OG0004418_Gbi_Lko.aln	0.0345	0.0237	0.6872
OGs_OG0006211_Gbi_Lko.aln	0.0195	0.0883	4.5188
OGs_OG0011228_Gbi_Lko.aln	0.0473	0.1399	2.9584
OGs_OG0005325_Gbi_Lko.aln	0.0247	0.0422	1.7097
OGs_OG0001856_Gbi_Lko.aln	0.0375	0.1675	4.4624
OGs_OG0003976_Gbi_Lko.aln	0.0527	0.2018	3.8273
OGs_OG0002157_Gbi_Lko.aln	0.0115	0.0526	4.5817
OGs_OG0005203_Gbi_Lko.aln	0.0918	0.2062	2.2459
OGs_OG0003960_Gbi_Lko.aln	0.0303	0.1479	4.8749
OGs_OG0006033_Gbi_Lko.aln	0.0358	0.1293	3.616
OGs_OG0004624_Gbi_Lko.aln	0.0124	0.0029	0.2339
OGs_OG0005818_Gbi_Lko.aln	0.0523	0.2175	4.1571
OGs_OG0004334_Gbi_Lko.aln	0.0338	0.1428	4.2312
OGs_OG0006054_Gbi_Lko.aln	0.0311	0.1627	5.2241
OGs_OG0005231_Gbi_Lko.aln	0.0793	0.3856	4.862
OGs_OG0004683_Gbi_Lko.aln	0.1134	0.1716	1.514
OGs_OG0004131_Gbi_Lko.aln	0.0498	0.1583	3.1802
OGs_OG0006701_Gbi_Lko.aln	0.0003	0.0322	99.0
OGs_OG0001488_Gbi_Lko.aln	0.0435	0.2064	4.7436
OGs_OG0003918_Gbi_Lko.aln	0.0538	0.1523	2.8292
OGs_OG0007315_Gbi_Lko.aln	0.0394	0.0644	1.6367
OGs_OG0013331_Gbi_Lko.aln	0.1321	0.2541	1.9238
OGs_OG0004519_Gbi_Lko.aln	0.0685	0.233	3.4006
OGs_OG0013678_Gbi_Lko.aln	0.4291	0.6196	1.4439
OGs_OG0004227_Gbi_Lko.aln	0.0121	0.0503	4.1748
OGs_OG0004928_Gbi_Lko.aln	0.0312	0.1432	4.5936
OGs_OG0006518_Gbi_Lko.aln	0.0249	0.1069	4.2931
OGs_OG0005603_Gbi_Lko.aln	0.0186	0.0761	4.0953
OGs_OG0005483_Gbi_Lko.aln	0.0132	0.057	4.3136
OGs_OG0002231_Gbi_Lko.aln	0.0824	0.1814	2.203
OGs_OG0003555_Gbi_Lko.aln	0.0396	0.0714	1.8009
OGs_OG0005127_Gbi_Lko.aln	0.0137	0.0271	1.9811
OGs_OG0003300_Gbi_Lko.aln	0.0905	0.4151	4.5855
OGs_OG0006838_Gbi_Lko.aln	0.027	0.1164	4.3177
OGs_OG0005359_Gbi_Lko.aln	0.0432	0.2032	4.7069
OGs_OG0004610_Gbi_Lko.aln	0.0166	0.0694	4.175
OGs_OG0003329_Gbi_Lko.aln	0.0508	0.2223	4.3791
OGs_OG0009024_Gbi_Lko.aln	0.0452	0.0804	1.7787
OGs_OG0003362_Gbi_Lko.aln	0.1553	0.5569	3.5872
OGs_OG0009602_Gbi_Lko.aln	0.1315	0.2385	1.813
OGs_OG0009303_Gbi_Lko.aln	0.0302	0.1144	3.7886
OGs_OG0007344_Gbi_Lko.aln	0.0481	0.19	3.9509
OGs_OG0007203_Gbi_Lko.aln	0.0762	0.2969	3.8941
OGs_OG0007425_Gbi_Lko.aln	0.0549	0.105	1.9137
OGs_OG0009026_Gbi_Lko.aln	0.0792	0.1706	2.1549
OGs_OG0007547_Gbi_Lko.aln	0.0795	0.3447	4.3358
OGs_OG0005302_Gbi_Lko.aln	0.0086	0.0322	3.745
OGs_OG0004006_Gbi_Lko.aln	0.0109	0.0235	2.1502
OGs_OG0007716_Gbi_Lko.aln	0.0649	0.1017	1.5672
OGs_OG0007305_Gbi_Lko.aln	0.0345	0.1586	4.5908
OGs_OG0005107_Gbi_Lko.aln	0.0196	0.0242	1.2349
OGs_OG0004185_Gbi_Lko.aln	0.0721	0.2147	2.9799
OGs_OG0004731_Gbi_Lko.aln	0.0127	0.0584	4.5896
OGs_OG0006230_Gbi_Lko.aln	0.0808	0.2843	3.5193
OGs_OG0006770_Gbi_Lko.aln	0.1458	0.4106	2.8156
OGs_OG0001443_Gbi_Lko.aln	0.0975	0.2213	2.2683
OGs_OG0004696_Gbi_Lko.aln	0.0175	0.0627	3.5917
OGs_OG0000802_Gbi_Lko.aln	0.0506	0.161	3.1835
OGs_OG0006053_Gbi_Lko.aln	0.2402	0.5335	2.2207
OGs_OG0006855_Gbi_Lko.aln	0.041	0.1753	4.2756
OGs_OG0007667_Gbi_Lko.aln	0.0591	0.2351	3.976
OGs_OG0004198_Gbi_Lko.aln	0.0571	0.158	2.7656
OGs_OG0003195_Gbi_Lko.aln	0.1729	0.5749	3.326
OGs_OG0003822_Gbi_Lko.aln	0.2549	0.7144	2.8026
OGs_OG0002289_Gbi_Lko.aln	0.1306	0.25	1.9149
OGs_OG0002090_Gbi_Lko.aln	0.06	0.3172	5.2821
OGs_OG0006871_Gbi_Lko.aln	0.1147	0.3155	2.7504
OGs_OG0002992_Gbi_Lko.aln	0.0068	0.0222	3.2685
OGs_OG0007012_Gbi_Lko.aln	0.0547	0.239	4.3703
OGs_OG0002455_Gbi_Lko.aln	0.0808	0.1109	1.3731
OGs_OG0004929_Gbi_Lko.aln	0.0066	0.0166	2.5162
OGs_OG0006422_Gbi_Lko.aln	0.0682	0.179	2.6254
OGs_OG0003279_Gbi_Lko.aln	0.0247	0.0992	4.0248
OGs_OG0003897_Gbi_Lko.aln	0.0766	0.3039	3.9666
OGs_OG0004268_Gbi_Lko.aln	0.0604	0.2669	4.4209
OGs_OG0011477_Gbi_Lko.aln	0.1274	0.4048	3.1778
OGs_OG0004703_Gbi_Lko.aln	0.1064	0.3372	3.1691
OGs_OG0001336_Gbi_Lko.aln	0.0719	0.2505	3.4851
OGs_OG0001471_Gbi_Lko.aln	0.0086	0.0383	4.4643
OGs_OG0008103_Gbi_Lko.aln	0.0109	0.0519	4.7382
OGs_OG0007376_Gbi_Lko.aln	0.0902	0.335	3.7127
OGs_OG0003527_Gbi_Lko.aln	0.0991	0.1702	1.7183
OGs_OG0005743_Gbi_Lko.aln	0.0292	0.146	4.9959
OGs_OG0007201_Gbi_Lko.aln	0.1291	0.2502	1.9377
OGs_OG0011536_Gbi_Lko.aln	0.0265	0.0555	2.0924
OGs_OG0008852_Gbi_Lko.aln	0.04	0.1507	3.7672
OGs_OG0007049_Gbi_Lko.aln	0.3293	0.4304	1.3072
OGs_OG0006327_Gbi_Lko.aln	0.0723	0.1095	1.515
OGs_OG0006269_Gbi_Lko.aln	0.0206	0.0955	4.6313
OGs_OG0001985_Gbi_Lko.aln	0.0157	0.0721	4.6028
OGs_OG0013589_Gbi_Lko.aln	0.2314	0.7806	3.3737
OGs_OG0001484_Gbi_Lko.aln	0.0061	0.024	3.9307
OGs_OG0001256_Gbi_Lko.aln	0.0601	0.2084	3.4666
OGs_OG0004153_Gbi_Lko.aln	0.0558	0.0874	1.5669
OGs_OG0003613_Gbi_Lko.aln	0.0486	0.1921	3.9537
OGs_OG0003563_Gbi_Lko.aln	0.096	0.1718	1.7906
OGs_OG0002210_Gbi_Lko.aln	0.0431	0.1669	3.8747
OGs_OG0006229_Gbi_Lko.aln	0.0771	0.3456	4.4838
OGs_OG0002673_Gbi_Lko.aln	0.0786	0.3074	3.9081
OGs_OG0013330_Gbi_Lko.aln	0.0591	0.1962	3.3195
OGs_OG0001723_Gbi_Lko.aln	0.0566	0.2796	4.9371
OGs_OG0004355_Gbi_Lko.aln	0.1748	0.3993	2.2851
OGs_OG0013645_Gbi_Lko.aln	0.6818	0.9017	1.3225
OGs_OG0005290_Gbi_Lko.aln	0.0072	0.0339	4.7009
OGs_OG0003956_Gbi_Lko.aln	0.0045	0.0169	3.7805
OGs_OG0001464_Gbi_Lko.aln	0.1359	0.2242	1.6495
OGs_OG0003323_Gbi_Lko.aln	0.3296	0.6274	1.9038
OGs_OG0007481_Gbi_Lko.aln	0.2012	0.2565	1.2749
OGs_OG0002912_Gbi_Lko.aln	0.1082	0.1761	1.6282
OGs_OG0005263_Gbi_Lko.aln	0.0792	0.2756	3.481
OGs_OG0004684_Gbi_Lko.aln	0.0162	0.0453	2.7948
OGs_OG0001992_Gbi_Lko.aln	0.0353	0.0729	2.067
OGs_OG0003753_Gbi_Lko.aln	0.0761	0.3241	4.2597
OGs_OG0006753_Gbi_Lko.aln	0.019	0.0819	4.3143
OGs_OG0006950_Gbi_Lko.aln	0.0562	0.2384	4.2388
OGs_OG0011203_Gbi_Lko.aln	0.1125	0.3909	3.4762
OGs_OG0013326_Gbi_Lko.aln	0.0906	0.1405	1.5503
OGs_OG0005121_Gbi_Lko.aln	0.0191	0.0743	3.895
OGs_OG0001774_Gbi_Lko.aln	0.0136	0.0445	3.2862
OGs_OG0007292_Gbi_Lko.aln	0.0484	0.2125	4.3914
OGs_OG0005329_Gbi_Lko.aln	0.0343	0.1486	4.338
OGs_OG0013587_Gbi_Lko.aln	0.1684	0.341	2.0253
OGs_OG0002607_Gbi_Lko.aln	0.0886	0.3094	3.4922
OGs_OG0007379_Gbi_Lko.aln	0.0971	0.4135	4.2593
OGs_OG0007727_Gbi_Lko.aln	0.0472	0.1971	4.1754
OGs_OG0010102_Gbi_Lko.aln	0.0721	0.228	3.1645
OGs_OG0007450_Gbi_Lko.aln	0.0213	0.0657	3.0917
OGs_OG0002496_Gbi_Lko.aln	0.0523	0.1013	1.938
OGs_OG0004733_Gbi_Lko.aln	0.0677	0.1133	1.6722
OGs_OG0004839_Gbi_Lko.aln	0.0211	0.107	5.0666
OGs_OG0013395_Gbi_Lko.aln	0.1159	0.311	2.6839
OGs_OG0001376_Gbi_Lko.aln	0.0371	0.1287	3.474
OGs_OG0004776_Gbi_Lko.aln	0.067	0.1334	1.9908
OGs_OG0009654_Gbi_Lko.aln	0.0468	0.0659	1.4088
OGs_OG0001145_Gbi_Lko.aln	0.0861	0.1659	1.9274
OGs_OG0001593_Gbi_Lko.aln	0.0831	0.2171	2.6119
OGs_OG0008834_Gbi_Lko.aln	0.0988	0.1223	1.2379
OGs_OG0010158_Gbi_Lko.aln	0.4403	0.8321	1.8898
OGs_OG0002707_Gbi_Lko.aln	0.0116	0.0548	4.7347
OGs_OG0006214_Gbi_Lko.aln	0.0	-0.0	3.2671
OGs_OG0004372_Gbi_Lko.aln	0.1266	0.4961	3.9182
OGs_OG0013408_Gbi_Lko.aln	0.0787	0.1716	2.1803
OGs_OG0013502_Gbi_Lko.aln	0.2923	0.4124	1.4111
OGs_OG0002178_Gbi_Lko.aln	0.0569	0.1393	2.4499
OGs_OG0004373_Gbi_Lko.aln	0.0225	0.0416	1.8534
OGs_OG0005387_Gbi_Lko.aln	0.0425	0.1707	4.0171
OGs_OG0002182_Gbi_Lko.aln	0.0333	0.0804	2.4161
OGs_OG0007711_Gbi_Lko.aln	0.0257	0.0995	3.8682
OGs_OG0004834_Gbi_Lko.aln	0.0548	0.2172	3.9665
OGs_OG0003912_Gbi_Lko.aln	0.0264	0.0694	2.6298
OGs_OG0002447_Gbi_Lko.aln	0.0471	0.0649	1.3789
OGs_OG0003899_Gbi_Lko.aln	0.0066	0.0274	4.1652
OGs_OG0004781_Gbi_Lko.aln	0.0046	0.0172	3.7705
OGs_OG0002071_Gbi_Lko.aln	0.2132	0.4495	2.1078
OGs_OG0004730_Gbi_Lko.aln	0.071	0.3171	4.4674
OGs_OG0004931_Gbi_Lko.aln	0.045	0.196	4.3506
OGs_OG0004563_Gbi_Lko.aln	0.0309	0.1401	4.5306
OGs_OG0001796_Gbi_Lko.aln	0.0105	0.0366	3.4983
OGs_OG0002603_Gbi_Lko.aln	0.2278	0.1791	0.7862
OGs_OG0004890_Gbi_Lko.aln	0.0031	0.0062	2.0476
OGs_OG0002683_Gbi_Lko.aln	0.0039	0.0058	1.4848
OGs_OG0011121_Gbi_Lko.aln	0.0402	0.0162	0.4037
OGs_OG0007554_Gbi_Lko.aln	0.0451	0.1574	3.4923
OGs_OG0005269_Gbi_Lko.aln	0.0666	0.2438	3.6587
OGs_OG0005868_Gbi_Lko.aln	0.1214	0.4832	3.9797
OGs_OG0005191_Gbi_Lko.aln	0.0394	0.1131	2.8682
OGs_OG0003772_Gbi_Lko.aln	0.0522	0.2444	4.6804
OGs_OG0005089_Gbi_Lko.aln	0.1543	0.2883	1.8685
OGs_OG0000299_Gbi_Lko.aln	0.0684	0.1837	2.6867
OGs_OG0005689_Gbi_Lko.aln	0.098	0.1781	1.817
OGs_OG0002922_Gbi_Lko.aln	0.1007	0.1744	1.7314
OGs_OG0008811_Gbi_Lko.aln	0.0487	0.1618	3.32
OGs_OG0001892_Gbi_Lko.aln	0.0794	0.1902	2.394
OGs_OG0008821_Gbi_Lko.aln	0.0376	0.0395	1.0483
